date,user,pc,to,cc,bcc,from,activity,size,attachments
2011-05-01 07:04:15,JLC0216,PC-3253,Geoffrey.Rahim.Griffin@dtaa.com;Jonathan.Laith.Casey@dtaa.com;Lamar.Benjamin.Johnston@dtaa.com,Gisela.Ivana.Bolton@dtaa.com,,Latifah.Germane.Schwartz@dtaa.com,View,37480,
2011-05-01 07:08:42,JLC0216,PC-3253,Jane.Teagan.Hale@dtaa.com;Amethyst.Jemima.Christensen@dtaa.com;Sloane.Kellie.Barron@dtaa.com,Aiko.Aimee.Hyde@dtaa.com;Jonathan.Laith.Casey@dtaa.com,,Grace.Nell.Tate@dtaa.com,View,28837,
2011-05-01 07:09:05,JLC0216,PC-3253,SHM682@sbcglobal.net,Gisela-Bolton@charter.net,,Casey-Jonathan@gmail.com,Send,47176,
2011-05-01 07:09:23,JLC0216,PC-3253,Hoffman-Adam@netzero.com;Mccray_Gareth@charter.net;Cline-Anthony@netzero.com,Moran_Kuame@earthlink.net,Gisela-Bolton@charter.net,Casey-Jonathan@gmail.com,Send,30622,
2011-05-01 07:12:35,WRW2331,PC-9106,Jescie_G_Roth@yahoo.com,,Wallace-Wang@optonline.net,Wallace-Wang@optonline.net,Send,1343246,C:\WRW2331\A4KPP6Z5.doc(1309463)
2011-05-01 07:12:41,JLC0216,PC-3253,Jonathan.Laith.Casey@dtaa.com,,,Gareth.Dante.Mccray@dtaa.com,View,19739,
2011-05-01 07:12:49,WRW2331,PC-9106,Heidi.Melinda.Vargas@dtaa.com,Nasim.Gareth.Ward@dtaa.com;Ingrid.B.Velasquez@hp.com,Wang.Rajah.Wallace@dtaa.com,Wang.Rajah.Wallace@dtaa.com,Send,14435,
2011-05-01 07:13:03,JLC0216,PC-3253,Tyler.Howard.Moon@dtaa.com;Jonathan.Laith.Casey@dtaa.com;Alexa.Lucy.Sosa@dtaa.com,,,Benedict.Christian.Bauer@dtaa.com,View,31639,
2011-05-01 07:15:00,JLC0216,PC-3253,Gisela-Bolton@charter.net;Hoffman-Adam@netzero.com,,,Casey-Jonathan@gmail.com,Send,42094,
2011-05-01 07:15:27,CGW0692,PC-6774,Fuller.Coby.Elliott@dtaa.com,Colton.Gray.Wagner@dtaa.com,,Colton.Gray.Wagner@dtaa.com,Send,1116278,C:\8U1SBXA9.txt(994422);C:\LQF0VV38.doc(96203)
2011-05-01 07:16:41,CGW0692,PC-6774,YDM58@gmail.com;CGW6@netzero.com;Faulkner-Castor@optonline.net,Zahir_Wells@verizon.net;Mosley-Nigel@comcast.net,,Mosley-Nigel@comcast.net,View,56292,
2011-05-01 07:17:20,WRW2331,PC-9106,Lars.Keaton.Bray@dtaa.com;Michelle.Indigo.Cote@dtaa.com,,Wang.Rajah.Wallace@dtaa.com,Wang.Rajah.Wallace@dtaa.com,Send,28543,
2011-05-01 07:18:45,CGW0692,PC-6774,AZG2439@boeing.com,Colton.Gray.Wagner@dtaa.com,,Colton.Gray.Wagner@dtaa.com,Send,24565,
2011-05-01 07:22:40,WRW2331,PC-9106,Baker.Wylie.Mccarty@dtaa.com,Adele.Deirdre.Guthrie@dtaa.com,,Wang.Rajah.Wallace@dtaa.com,View,31517,
2011-05-01 07:23:48,CGW0692,PC-6774,Wanda.Briar.Morin@dtaa.com,,Colton.Gray.Wagner@dtaa.com,Colton.Gray.Wagner@dtaa.com,Send,19158,
2011-05-01 07:24:31,WRW2331,PC-9106,Kiona.I.Clemons@yahoo.com,Wallace-Wang@optonline.net,,Wallace-Wang@optonline.net,Send,891473,C:\WRW2331\OEJNWUO5.pdf(878311)
2011-05-01 07:25:00,WRW2331,PC-9106,EJP3718@yahoo.com,Dorian.J.Flores@bellsouth.net;French_Barclay@netzero.com;BMA98@aol.com;Lillith.M.Wade@charter.net;Wallace-Wang@optonline.net,,Wallace-Wang@optonline.net,Send,1829390,C:\99jwY11\V9ZM24CK.doc(1082361);C:\IL9OZWPO.doc(561224);C:\HP0GWYFH.doc(159652)
2011-05-01 07:26:58,AFP2709,PC-3154,Wilma.Mallory.Rose@dtaa.com,,,Austin.Ferdinand.Peck@dtaa.com,Send,30747,
2011-05-01 07:31:02,CGW0692,PC-6774,Nevada.Hadassah.Yang@dtaa.com,Colton.Gray.Wagner@dtaa.com,,Colton.Gray.Wagner@dtaa.com,Send,1027411,C:\8U1SBXA9.txt(994422)
2011-05-01 07:33:02,CGW0692,PC-6774,Fuller.Coby.Elliott@dtaa.com,Colton.Gray.Wagner@dtaa.com,,Colton.Gray.Wagner@dtaa.com,Send,26020,
2011-05-01 07:35:53,MJA2380,PC-2940,Carter.Charles.Wells@dtaa.com;Salvador.Hu.Patel@dtaa.com;Dexter.Ethan.Farley@dtaa.com,Colorado.Hamish.Benjamin@dtaa.com;Iliana_Prince@harris.com;Mercedes.Josephine.Ayala@dtaa.com,,Mercedes.Josephine.Ayala@dtaa.com,View,30820,
2011-05-01 07:39:42,HLO2756,PC-9822,Holly.Lacey.Odom@dtaa.com,,,Rylee.Shea.Meadows@dtaa.com,View,288254,C:\815JXL8\LBMO4WTX.doc(251165)
2011-05-01 07:40:30,PJC1252,PC-7983,Pamela.Julie.Case@dtaa.com;Darrel.Yvonne.Holloway@dtaa.com;Ayanna.Hadley.Pickett@dtaa.com,Brenden.Edward.Humphrey@dtaa.com,,Malachi.Clark.Yang@dtaa.com,View,38504,
2011-05-01 07:42:08,PJC1252,PC-7983,Pamela.Julie.Case@dtaa.com,,,Adria_M_Schwartz@raytheon.com,View,20490,
2011-05-01 07:42:20,PJC1252,PC-7983,Mccullough-Hu@comcast.net,,,Pamela_J_Case@earthlink.net,Send,2693893,C:\PJC1252\IC7N7CRH.doc(1769713);C:\UPCZ01JO.pdf(898156)
2011-05-01 07:43:00,MJA2380,PC-2940,LAC365@earthlink.net,Ayala-Mercedes@earthlink.net,,Ayala-Mercedes@earthlink.net,Send,22277,
2011-05-01 07:43:53,MJA2380,PC-2940,Wynter_N_Rowland@optonline.net,Ayala-Mercedes@earthlink.net,,Ayala-Mercedes@earthlink.net,View,30896,
2011-05-01 07:44:45,MJA2380,PC-2940,Vang-Yardley@earthlink.net,Ayala-Mercedes@earthlink.net,,Ayala-Mercedes@earthlink.net,View,24761,
2011-05-01 07:44:52,PJC1252,PC-7983,Pamela_J_Case@earthlink.net,Rollins_Evelyn@optonline.net,,Rollins_Evelyn@optonline.net,View,26203,
2011-05-01 07:49:53,PJC1252,PC-7983,XKR9@netzero.com;MCY351@comcast.net;Gilmore-Tate@bellsouth.net;Velasquez-Armand@juno.com;Darrel_Holloway@msn.com,,,Pamela_J_Case@earthlink.net,Send,25394,
2011-05-01 07:49:55,CGW0692,PC-6774,Silas.James.Terry@dtaa.com;Colton.Gray.Wagner@dtaa.com,Nevada.Hadassah.Yang@dtaa.com,,Peter.Melvin.Morin@dtaa.com,View,23711,
2011-05-01 07:50:23,PJC1252,PC-7983,MCY351@comcast.net,,,Pamela_J_Case@earthlink.net,Send,17917,
2011-05-01 07:51:09,BMC3636,PC-5581,Moana_Ramsey@optonline.net,Bender-Channing@comcast.net,Brielle_M_Campbell@charter.net,Brielle_M_Campbell@charter.net,Send,14979,
2011-05-01 07:51:13,PJC1252,PC-7983,Pamela.Julie.Case@dtaa.com;Eugenia.Jaden.Brady@dtaa.com;Skyler.Nita.Meyer@dtaa.com,Burke.Alfonso.Hill@dtaa.com,,Isaiah.Nero.Hensley@dtaa.com,View,29164,
2011-05-01 07:51:27,PJC1252,PC-7983,Pamela.Julie.Case@dtaa.com,,,Eugenia.Jaden.Brady@dtaa.com,View,24943,
2011-05-01 07:52:13,RCH2447,PC-0226,Nerea.Erin.Cabrera@dtaa.com;Regina.Priscilla.Wright@dtaa.com,,Reagan.Cecilia.Hawkins@dtaa.com,Reagan.Cecilia.Hawkins@dtaa.com,Send,32202,
2011-05-01 07:53:39,PJC1252,PC-7983,Pamela_J_Case@earthlink.net;Vladimir-Vincent@gmail.com;BAH98@optonline.net;Eugenia.J.Brady@cox.net,,,Nichole_G_Howell@yahoo.com,View,17493,
2011-05-01 07:54:02,UCW2995,PC-7862,Uriah.C.Weiss@netzero.com,,,Stone-Keane@msn.com,View,42239,
2011-05-01 07:54:58,CGW0692,PC-6774,Peter.Melvin.Morin@dtaa.com;Hedda.Ginger.Roman@dtaa.com,,Colton.Gray.Wagner@dtaa.com,Colton.Gray.Wagner@dtaa.com,Send,33253,
2011-05-01 07:55:21,ROR3483,PC-4365,Angelica_K_Clark@optonline.net;Casey-Bentley@optonline.net,Chang-Dante@charter.net;Randolph-Nolan@yahoo.com,,Randolph-Nolan@yahoo.com,View,22855,
2011-05-01 07:55:34,JKG0944,PC-2688,Lydia.Karyn.Gonzales@dtaa.com,,,Jonathan.Knox.Gibbs@dtaa.com,Send,991078,C:\JKG0944\LBOCCA4T.txt(938803)
2011-05-01 07:55:39,DRB0202,PC-0568,Mara.Azalia.William@dtaa.com;Daryl.Rana.Bentley@dtaa.com,Diana.MacKensie.Henson@dtaa.com,,Nicholas.Josiah.Sharpe@dtaa.com,View,42703,
2011-05-01 07:56:54,RCH2447,PC-0226,Ira.Raja.Boyd@dtaa.com;Cain-Pruitt@lockheedmartin.com,,Reagan.Cecilia.Hawkins@dtaa.com,Reagan.Cecilia.Hawkins@dtaa.com,Send,19025,
2011-05-01 07:58:48,ROR3483,PC-4365,Barbara.Kiayada.Shaw@dtaa.com;Ebony.Zelda.Petersen@dtaa.com,,,Randall.Orson.Rosa@dtaa.com,Send,47257,
2011-05-01 07:58:58,ROR3483,PC-4365,Randall.Orson.Rosa@dtaa.com;Madison.Roary.Espinoza@dtaa.com,Phelan.David.Juarez@dtaa.com,,Wade.Edward.Cannon@dtaa.com,View,23865,
2011-05-01 07:58:59,ROR3483,PC-4365,Randall.Orson.Rosa@dtaa.com,,,Wade.Edward.Cannon@dtaa.com,View,33145,
2011-05-01 07:59:01,ROR3483,PC-4365,Randall.Orson.Rosa@dtaa.com;Declan.Herrod.Kinney@dtaa.com,Florence.Giselle.Neal@dtaa.com;Gillian.Nelle.Holland@dtaa.com,,Nathaniel.Paul.Klein@dtaa.com,View,39012,
2011-05-01 07:59:01,ROR3483,PC-4365,Kylee_Mcclain@optonline.net,Randolph-Nolan@yahoo.com,,Randolph-Nolan@yahoo.com,View,23635,
2011-05-01 08:00:12,DRB0202,PC-0568,Daryl.Rana.Bentley@dtaa.com;Mara.Azalia.William@dtaa.com,Nicholas.Josiah.Sharpe@dtaa.com;Ferdinand.Dante.Valenzuela@dtaa.com;Madaline.Deborah.Fisher@dtaa.com,,Diana.MacKensie.Henson@dtaa.com,View,34014,
2011-05-01 08:01:05,UCW2995,PC-7862,Tamekah.Keiko.Stephenson@dtaa.com;Uriah.Cain.Weiss@dtaa.com;Lana.Abra.Hart@dtaa.com,Amos.Joel.Sweet@dtaa.com,,Silas.Jermaine.Delacruz@dtaa.com,View,24985,
2011-05-01 08:01:19,CJM0273,PC-3471,Ferris.Dean.Sharp@dtaa.com,,Christopher.Jerome.Mueller@dtaa.com,Christopher.Jerome.Mueller@dtaa.com,Send,30698,
2011-05-01 08:03:35,KBG1117,PC-6532,FDD9@sbcglobal.net,Kessie_Gross@netzero.com,,Kessie_Gross@netzero.com,View,1265857,C:\34l4797\KKLRHIWV.pdf(1235537)
2011-05-01 08:03:43,KMR0682,PC-1419,Alyssa.Penelope.Mccarthy@dtaa.com,Kellie.Meghan.Roberts@dtaa.com,,Mollie.Dominique.Bell@dtaa.com,View,16101,
2011-05-01 08:04:40,AFP2709,PC-3154,Neil.Quentin.Ortiz@dtaa.com;Austin.Ferdinand.Peck@dtaa.com,Wilma.Mallory.Rose@dtaa.com,,Wilma.Mallory.Rose@dtaa.com,View,1752420,C:\WMR2723\IZZS8YYD.zip(1726418)
2011-05-01 08:05:00,DRB0202,PC-0568,DMH7643@earthlink.net,,,Daryl_Bentley@charter.net,Send,35625,
2011-05-01 08:05:40,WBH1861,PC-8987,Ariana.M.Beck@verizon.net,MRT8@comcast.net,,Hampton_William@earthlink.net,View,37386,
2011-05-01 08:08:50,AFP2709,PC-3154,Peck.Austin@sbcglobal.net,,,Leslie_G_Jacobs@bellsouth.net,View,39427,
2011-05-01 08:09:25,PEV3955,PC-4993,BRC782@charter.net;ATF179@aol.com,Cameran_Johns@hotmail.com;Arthur.I.Vincent@gmail.com,PEV6@gmail.com,PEV6@gmail.com,Send,2072754,C:\85w8J45\3FLAX5MS.doc(427189);C:\457fD79\7GDB44KW.doc(1387423);C:\HWEZX7ZR.doc(235407)
2011-05-01 08:10:02,ZRM0694,PC-6816,Chiquita.Bo.Mays@dtaa.com;Colton.Gray.Wagner@dtaa.com;Joshua.Chase.Clarke@dtaa.com,Xerxes.Bell.Hancock@dtaa.com,,Zenaida.Rosalyn.Mclean@dtaa.com,View,1681207,C:\373BT99\1ALJKZ75.pdf(1651427)
2011-05-01 08:10:18,YCL0824,PC-6421,Rose.Wilma.Nieves@dtaa.com,Yvette.Charity.Lopez@dtaa.com,,Yvette.Charity.Lopez@dtaa.com,View,18327,
2011-05-01 08:11:06,IKC1205,PC-8568,Bennett-Jacob@cox.net;LCF9657@yahoo.com,DRW6962@verizon.net,,Ina.K.Cardenas@verizon.net,View,751634,C:\YO50ES7R.doc(723813)
2011-05-01 08:11:06,ZRM0694,PC-6816,Zenaida.Rosalyn.Mclean@dtaa.com,,,Chiquita.Bo.Mays@dtaa.com,View,25873,
2011-05-01 08:11:27,DRB0202,PC-0568,TDM347@sbcglobal.net;Daryl_Bentley@charter.net,,,NJS1@netzero.com,View,4302968,C:\NJS2657\2RM87ISV.doc(476900);C:\NJS2657\SXYACOH9.zip(732953);C:\EEEXHJ5M.pdf(1267872);C:\NJS2657\3TH5I0WA.pdf(1804680)
2011-05-01 08:11:36,UCW2995,PC-7862,Uriah.C.Weiss@netzero.com,,,Stone-Keane@msn.com,View,42239,
2011-05-01 08:11:37,YCL0824,PC-6421,Moses.Dustin.Hodges@dtaa.com;Rose.Wilma.Nieves@dtaa.com,,Yvette.Charity.Lopez@dtaa.com,Yvette.Charity.Lopez@dtaa.com,Send,34450,
2011-05-01 08:12:43,UCW2995,PC-7862,Tamekah.Keiko.Stephenson@dtaa.com;Lana.Abra.Hart@dtaa.com,,,Aidan.Neil.Lynn@dtaa.com,View,36642,
2011-05-01 08:12:56,YCL0824,PC-6421,Malachi.Dustin.Ochoa@dtaa.com;Rose.Wilma.Nieves@dtaa.com,Moses.Dustin.Hodges@dtaa.com;Emerald.Kelsey.Bates@dtaa.com;Carter.Stewart.Butler@dtaa.com,,Yvette.Charity.Lopez@dtaa.com,View,351489,C:\Q0SOJ5QA.doc(325844)
2011-05-01 08:13:18,JJH1389,PC-3684,Whilemina_Ryan@lockheedmartin.com;Amanda.Sydney.Decker@dtaa.com,Jonathan.Jelani.Hooper@dtaa.com;Kaden.Aubrey.Craig@dtaa.com,,Asher.Erich.Powell@dtaa.com,View,28989,
2011-05-01 08:14:56,DRB0202,PC-0568,Daryl_Bentley@charter.net;Mara_William@msn.com,,,NJS1@netzero.com,View,36787,
2011-05-01 08:15:21,HDB1666,PC-6793,Prescott.Thane.Olson@dtaa.com,Meredith.Bo.Hurst@dtaa.com,Hector.Donovan.Bray@dtaa.com,Hector.Donovan.Bray@dtaa.com,Send,27787,
2011-05-01 08:15:51,IKC1205,PC-8568,Cora.Sasha.Mccray@dtaa.com;Duncan.Rajah.Woodward@dtaa.com,,Ina.Kaden.Cardenas@dtaa.com,Ina.Kaden.Cardenas@dtaa.com,Send,44316,
2011-05-01 08:15:57,HDB1666,PC-6793,Demetrius.Kibo.Weaver@dtaa.com;Aiko.Bianca.Manning@dtaa.com,,Hector.Donovan.Bray@dtaa.com,Hector.Donovan.Bray@dtaa.com,Send,16575,
2011-05-01 08:16:00,KBG1117,PC-6532,Sara.Leilani.Brady@dtaa.com,Kessie.Brooke.Gross@dtaa.com,,Kessie.Brooke.Gross@dtaa.com,Send,1145724,C:\UEVPGX31.txt(1103310)
2011-05-01 08:17:07,HDB1666,PC-6793,TPF81@cox.net;Louis-Garza@gmail.com,Hobbs-Tyler@comcast.net,Hector.D.Bray@msn.com,Hector.D.Bray@msn.com,Send,38476,
2011-05-01 08:18:27,MBH0527,PC-9620,Meredith_Hurst@bellsouth.net;PMA3@bellsouth.net,BCB89@earthlink.net;Sonia_F_Leblanc@aol.com,,BCB89@earthlink.net,View,22965,
2011-05-01 08:19:57,APB3823,PC-4062,Galvin.Scott.Atkins@dtaa.com;Brady.Gil.Nelson@dtaa.com;Elizabeth.Karen.Berger@dtaa.com,Philip.Ferdinand.Calderon@dtaa.com,,Alea.Piper.Brown@dtaa.com,Send,16440,
2011-05-01 08:20:03,KMR0682,PC-1419,Alyssa.Penelope.Mccarthy@dtaa.com;Jonathan.Jordan.Huber@dtaa.com,,Kellie.Meghan.Roberts@dtaa.com,Kellie.Meghan.Roberts@dtaa.com,Send,32106,
2011-05-01 08:20:37,NSR2539,PC-3893,Eve.Teagan.Mccarthy@dtaa.com;Calista_Clark@raytheon.com;Rebecca.Stephanie.Edwards@dtaa.com,Hayden.Beck.Stevens@dtaa.com;Sydney.Carissa.Morrison@dtaa.com;Natalie.Shaeleigh.Ratliff@dtaa.com,,Natalie.Shaeleigh.Ratliff@dtaa.com,View,22264,
2011-05-01 08:20:39,APB3823,PC-4062,Xenos.John.Marks@dtaa.com,Brody-Bonner@northropgrumman.com,,Alea.Piper.Brown@dtaa.com,Send,22617,
2011-05-01 08:21:07,YCL0824,PC-6421,Malachi.Dustin.Ochoa@dtaa.com,Moses.Dustin.Hodges@dtaa.com,,Yvette.Charity.Lopez@dtaa.com,View,52474,
2011-05-01 08:21:49,NSR2539,PC-3893,Natalie.Shaeleigh.Ratliff@dtaa.com,Azalia.Imogene.Horne@dtaa.com,,Benjamin.Wayne.Cameron@dtaa.com,View,1213051,C:\ETU9A1WX.doc(1190191)
2011-05-01 08:21:59,DRB0202,PC-0568,DMH7643@earthlink.net,,,Daryl_Bentley@charter.net,Send,1133729,C:\12Dd3z2\XMFHESDO.doc(1107775)
2011-05-01 08:22:40,YNW2855,PC-0624,Yoshi.Noel.Wiley@dtaa.com,Brandon.Samuel.Mcintyre@dtaa.com,,Fay.Amity.Rhodes@dtaa.com,View,11739,
2011-05-01 08:23:09,YCL0824,PC-6421,Rose.Wilma.Nieves@dtaa.com,,,Yvette.Charity.Lopez@dtaa.com,View,36763,
2011-05-01 08:23:44,YCL0824,PC-6421,Yvette.Charity.Lopez@dtaa.com;Malachi.Dustin.Ochoa@dtaa.com,,,Moses.Dustin.Hodges@dtaa.com,View,190254,C:\MDH1924\FN397WEX.pdf(167964)
2011-05-01 08:24:51,UCW2995,PC-7862,Uriah.Cain.Weiss@dtaa.com;Armand.Myles.Jimenez@dtaa.com,,,Emi.Lynn.Banks@dtaa.com,View,29436,
2011-05-01 08:25:07,NSR2539,PC-3893,Martin.Vance.Armstrong@dtaa.com,Rebecca.Stephanie.Edwards@dtaa.com,Natalie.Shaeleigh.Ratliff@dtaa.com,Natalie.Shaeleigh.Ratliff@dtaa.com,Send,44782,
2011-05-01 08:26:01,YCL0824,PC-6421,Malachi-Ochoa@verizon.net,MDH6665@yahoo.com;Rose-Nieves@juno.com,,Yvette_Lopez@sbcglobal.net,View,34295,
2011-05-01 08:26:08,KCR2291,PC-1603,Darryl.Marcia.Wright@dtaa.com;Knox.Carl.Raymond@dtaa.com;Barry.Sebastian.Mendez@dtaa.com;Fleur_Calderon@lockheedmartin.com,,,Wing.Xander.Hendrix@dtaa.com,View,30501,
2011-05-01 08:28:24,YCL0824,PC-6421,Rose-Nieves@juno.com,,Yvette_Lopez@sbcglobal.net,Yvette_Lopez@sbcglobal.net,Send,27947,
2011-05-01 08:29:26,MBH0527,PC-9620,Meredith.Bo.Hurst@dtaa.com,Riley.Violet.Hogan@dtaa.com,,Riley.Violet.Hogan@dtaa.com,View,883674,C:\75nF533\58K2YTZ1.doc(858253)
2011-05-01 08:29:32,MBH0527,PC-9620,Brenden.Colt.Blackburn@dtaa.com;Jeremy.Ulric.Madden@dtaa.com;Dustin.Darius.Gray@dtaa.com;Deborah.Harriet.Grimes@dtaa.com;Sonia.Francesca.Leblanc@dtaa.com,,,Meredith.Bo.Hurst@dtaa.com,Send,24767,
2011-05-01 08:29:37,OKH3777,PC-5467,Aiko_Manning@msn.com;BYF57@bellsouth.net,KTL7@optonline.net,OKH3@aol.com,OKH3@aol.com,Send,1133757,C:\31DF51KM.txt(1115522)
2011-05-01 08:30:02,MBH0527,PC-9620,Meredith.Bo.Hurst@dtaa.com,Portia.Oprah.Day@dtaa.com,,Portia.Oprah.Day@dtaa.com,View,28943,
2011-05-01 08:30:26,XBW2502,PC-7681,Gregory.Dustin.Hobbs@dtaa.com,Kenyon.William.Delacruz@dtaa.com;Stone.Amir.Luna@dtaa.com,,Xerxes.Bianca.Wolf@dtaa.com,Send,5010363,C:\16RFTw0\R3SK19JF.doc(817625);C:\QVMF2NP4.pdf(430380);C:\XBW2502\JPI47M9M.doc(1012852);C:\71sx2Y2\CWAFD6ZX.txt(721953);C:\47D2V35\5JTG99R5.pdf(1996183)
2011-05-01 08:31:17,KBG1117,PC-6532,Chiquita.Bo.Mays@dtaa.com;Faith.Sara.Mcbride@dtaa.com;Galvin.Scott.Atkins@dtaa.com,Kessie.Brooke.Gross@dtaa.com,,Ciara.Xantha.Mcdonald@dtaa.com,View,564381,C:\37Dx2T2\QT4MDCE9.doc(523715)
2011-05-01 08:35:11,RCH2447,PC-0226,Ira.Raja.Boyd@dtaa.com;Chelsea.Petra.Church@dtaa.com,,,Reagan.Cecilia.Hawkins@dtaa.com,View,21065,
2011-05-01 08:35:11,ZAR0404,PC-7841,Ian.I.Whitehead@msn.com,,,ZAR49@msn.com,Send,14291,
2011-05-01 08:35:34,AEM0554,PC-0514,Asher.Elliott.Morrison@dtaa.com;Graham.Daniel.House@dtaa.com,,,Xaviera.Jane.Bullock@dtaa.com,View,29096,
2011-05-01 08:35:59,DJS1127,PC-6321,Florence.C.Solis@cox.net;Serena_G_Patterson@aol.com,CGC63@msn.com,,Dakota_Stark@msn.com,View,24237,
2011-05-01 08:36:51,DJS1127,PC-6321,LAC365@earthlink.net,Dakota_Stark@msn.com,,Dakota_Stark@msn.com,View,46393,
2011-05-01 08:37:29,NSR2539,PC-3893,Campbell-Upton@optonline.net,,,Natalie.S.Ratliff@cox.net,View,33515,
2011-05-01 08:37:44,DJS1127,PC-6321,LAC365@earthlink.net,Dakota_Stark@msn.com,,Dakota_Stark@msn.com,View,46393,
2011-05-01 08:37:51,GJS0160,PC-4170,Arthur.I.Vincent@gmail.com,GJS246@verizon.net,,GJS246@verizon.net,Send,42276,
2011-05-01 08:37:53,DJS1127,PC-6321,Adria_Flowers@earthlink.net;Florence.C.Solis@cox.net;Wylie_Huffman@verizon.net,VRJ9@verizon.net,Dakota_Stark@msn.com,Dakota_Stark@msn.com,Send,38785,
2011-05-01 08:38:02,DJS1127,PC-6321,Adria.Sylvia.Flowers@dtaa.com,,,Dakota.Jenna.Stark@dtaa.com,View,33059,
2011-05-01 08:38:05,DJS1127,PC-6321,Gil.Byron.Hines@dtaa.com;Willa.Elizabeth.Velez@dtaa.com;Wylie.Silas.Huffman@dtaa.com,Dakota.Jenna.Stark@dtaa.com,,Cole.Graham.Campos@dtaa.com,View,21590,
2011-05-01 08:38:11,NSR2539,PC-3893,Kareem.Geoffrey.Frost@dtaa.com;Martin.Vance.Armstrong@dtaa.com;Ignacia.Imelda.Bullock@dtaa.com,,,Natalie.Shaeleigh.Ratliff@dtaa.com,View,28855,
2011-05-01 08:38:26,SKE3262,PC-7089,Solomon.Armand.Dodson@dtaa.com;Camilla.Cameron.Gill@dtaa.com;Bradley.Robert.Guthrie@dtaa.com,Salvador.Kennan.English@dtaa.com,,Ira.Merrill.Mcintyre@dtaa.com,View,35827,
2011-05-01 08:38:34,DJS1127,PC-6321,Irwin-Galvin@verizon.net,,Dakota_Stark@msn.com,Dakota_Stark@msn.com,Send,26208,
2011-05-01 08:38:35,DJS1127,PC-6321,Baxter.Dalton.Hensley@dtaa.com;Clarke.Nicolas.Burnett@dtaa.com;Mercedes.Hannah.Sparks@dtaa.com,Benjamin.Joseph.Alvarado@dtaa.com;Cole.Graham.Campos@dtaa.com,Dakota.Jenna.Stark@dtaa.com,Dakota.Jenna.Stark@dtaa.com,Send,22293,
2011-05-01 08:39:30,GDM3960,PC-7415,Gisela.Deanna.Macdonald@dtaa.com;Yardley.Abel.Simmons@dtaa.com,Alan.Ivor.Lindsay@dtaa.com,,Blair.Britanni.Howell@dtaa.com,View,20815,
2011-05-01 08:39:58,DJS1127,PC-6321,Adria_Flowers@earthlink.net;Lamb-Walter@sbcglobal.net;Dakota_Stark@msn.com,Jessica.P.Huff@comcast.net,,CGC63@msn.com,View,23124,
