employee_name,user_id,email,role
Hasad Phillip Robbins,HPR2023,Hasad.Phillip.Robbins@dtaa.com,TestEngineer
Hilel Aladdin Rodriquez,HAR3571,Hilel.Aladdin.Rodriquez@dtaa.com,ComputerScientist
Nolan Jelani Merritt,NJM0440,Nolan.Jelani.Merritt@dtaa.com,PurchasingClerk
Ivan Brock Wood,IBW1779,Ivan.Brock.Wood@dtaa.com,Mathematician
Brody Vernon Bonner,BVB1673,Brody.Vernon.Bonner@dtaa.com,Salesman
Daria Dahlia Francis,DDF2937,Daria.Dahlia.Francis@dtaa.com,Salesman
Nina Desiree Howard,NDH3827,Nina.Desiree.Howard@dtaa.com,Technician
Nicolas Luke Sellers,NLS1866,Nicolas.Luke.Sellers@dtaa.com,SystemsEngineer
Medge Kirby Mooney,MKM0647,Medge.Kirby.Mooney@dtaa.com,TechnicalWriter
Dylan Carter Rodriguez,DCR1531,Dylan.Carter.Rodriguez@dtaa.com,ProductionLineWorker
Benjamin Sylvester Brown,BSB3083,Benjamin.Sylvester.Brown@dtaa.com,MechanicalEngineer
Stella Lila Mcintyre,SLM1119,Stella.Lila.Mcintyre@dtaa.com,WebDeveloper
Kim Constance Owens,KCO0269,Kim.Constance.Owens@dtaa.com,MaterialsEngineer
Heidi Vanna Solis,HVS1143,Heidi.Vanna.Solis@dtaa.com,ElectricalEngineer
Julian Reed Rose,JRR0829,Julian.Reed.Rose@dtaa.com,MechanicalEngineer
Barclay Mason French,BMF2337,Barclay.Mason.French@dtaa.com,Salesman
Jackson Roth Klein,JRK2707,Jackson.Roth.Klein@dtaa.com,MechanicalEngineer
Christine Elaine Christian,CEC1352,Christine.Elaine.Christian@dtaa.com,Scientist
Kenyon Driscoll Bean,KDB0266,Kenyon.Driscoll.Bean@dtaa.com,ElectricalEngineer
Madonna Kylee Rosales,MKR2138,Madonna.Kylee.Rosales@dtaa.com,TestEngineer
Aphrodite Lana Smith,ALS3440,Aphrodite.Lana.Smith@dtaa.com,Salesman
Amos Zane Gardner,AZG2343,Amos.Zane.Gardner@dtaa.com,Technician
Russell Joseph Spears,RJS0846,Russell.Joseph.Spears@dtaa.com,StockroomClerk
Bradley Robert Guthrie,BRG3267,Bradley.Robert.Guthrie@dtaa.com,StockroomClerk
Quinn Neil Walsh,QNW0977,Quinn.Neil.Walsh@dtaa.com,Technician
Christen Nichole Todd,CNT0946,Christen.Nichole.Todd@dtaa.com,Technician
Damon Melvin Reed,DMR2518,Damon.Melvin.Reed@dtaa.com,ComputerScientist
Deborah Serina Bryan,DSB0245,Deborah.Serina.Bryan@dtaa.com,AdministrativeAssistant
Lamar Brett Russell,LBR1387,Lamar.Brett.Russell@dtaa.com,ElectricalEngineer
Castor Keegan Best,CKB3645,Castor.Keegan.Best@dtaa.com,ProductionLineWorker
Dolan Hamish Gibson,DHG0962,Dolan.Hamish.Gibson@dtaa.com,Salesman
Hedy Margaret Reynolds,HMR0098,Hedy.Margaret.Reynolds@dtaa.com,AdministrativeAssistant
Timon Leo Winters,TLW2668,Timon.Leo.Winters@dtaa.com,Scientist
Lucius Lucas Huber,LLH3157,Lucius.Lucas.Huber@dtaa.com,ElectricalEngineer
William Nehru Carson,WNC0874,William.Nehru.Carson@dtaa.com,StockroomClerk
Maggie Nomlanga Christensen,MNC0433,Maggie.Nomlanga.Christensen@dtaa.com,AdministrativeAssistant
Igor Walter Gaines,IWG0058,Igor.Walter.Gaines@dtaa.com,ProjectManager
Lucian Barrett Monroe,LBM3284,Lucian.Barrett.Monroe@dtaa.com,ProductionLineWorker
Hammett Zeus Hodge,HZH0297,Hammett.Zeus.Hodge@dtaa.com,Supervisor
Upton Xander Campbell,UXC1495,Upton.Xander.Campbell@dtaa.com,StockroomClerk
Edan Hector Dudley,EHD1744,Edan.Hector.Dudley@dtaa.com,SecurityGuard
Kiona Maia Castaneda,KMC2028,Kiona.Maia.Castaneda@dtaa.com,Scientist
Howard Wyatt Vasquez,HWV1621,Howard.Wyatt.Vasquez@dtaa.com,Technician
Evelyn Fiona Cleveland,EFC1153,Evelyn.Fiona.Cleveland@dtaa.com,ElectricalEngineer
Christine Glenna Taylor,CGT3148,Christine.Glenna.Taylor@dtaa.com,MechanicalEngineer
Jescie Kristen Conley,JKC3349,Jescie.Kristen.Conley@dtaa.com,ProductionLineWorker
Raymond Jarrod Welch,RJW1440,Raymond.Jarrod.Welch@dtaa.com,MaterialsEngineer
Emi Lynn Banks,ELB0033,Emi.Lynn.Banks@dtaa.com,AdministrativeAssistant
Risa Lacy Parker,RLP3268,Risa.Lacy.Parker@dtaa.com,StockroomClerk
Wade Edward Cannon,WEC3721,Wade.Edward.Cannon@dtaa.com,Salesman
Carissa Rhonda Joyce,CRJ3070,Carissa.Rhonda.Joyce@dtaa.com,Mathematician
Wyatt Reed Morrow,WRM0515,Wyatt.Reed.Morrow@dtaa.com,WebDeveloper
Zelenia Noelle Goodwin,ZNG3404,Zelenia.Noelle.Goodwin@dtaa.com,Technician
Neil Kevin Vang,NKV1451,Neil.Kevin.Vang@dtaa.com,SystemsEngineer
Guinevere Sonia Bowen,GSB0666,Guinevere.Sonia.Bowen@dtaa.com,MechanicalEngineer
Felix Callum Kemp,FCK3307,Felix.Callum.Kemp@dtaa.com,StockroomClerk
Rashad Honorato Dixon,RHD0787,Rashad.Honorato.Dixon@dtaa.com,MechanicalEngineer
Mari Faith Lester,MFL0355,Mari.Faith.Lester@dtaa.com,Manager
Shea Madeline Ochoa,SMO0458,Shea.Madeline.Ochoa@dtaa.com,ITAdmin
Grace MacKensie Fields,GMF1213,Grace.MacKensie.Fields@dtaa.com,Scientist
Jonathan Neil Rosales,JNR2260,Jonathan.Neil.Rosales@dtaa.com,Salesman
Aiko Aimee Hyde,AAH0721,Aiko.Aimee.Hyde@dtaa.com,Physicist
Oleg Reece Barton,ORB2880,Oleg.Reece.Barton@dtaa.com,Salesman
Bo Xerxes Garrett,BXG3763,Bo.Xerxes.Garrett@dtaa.com,Technician
Brady Kenyon Fuller,BKF0427,Brady.Kenyon.Fuller@dtaa.com,Technician
Carter Charles Wells,CCW2381,Carter.Charles.Wells@dtaa.com,ChiefEngineer
Cruz Xander Burke,CXB2183,Cruz.Xander.Burke@dtaa.com,ProductionLineWorker
Michael Darius Perry,MDP0161,Michael.Darius.Perry@dtaa.com,ElectricalEngineer
Jermaine Nathan Patton,JNP1240,Jermaine.Nathan.Patton@dtaa.com,ElectricalEngineer
Albert Nicolas Morales,ANM0564,Albert.Nicolas.Morales@dtaa.com,SystemsEngineer
McKenzie Carly Schultz,MCS0512,McKenzie.Carly.Schultz@dtaa.com,WebDeveloper
Dominique Keiko Dawson,DKD2409,Dominique.Keiko.Dawson@dtaa.com,SecurityGuard
Shannon Wendy Ruiz,SWR3808,Shannon.Wendy.Ruiz@dtaa.com,Technician
Chandler William Alvarez,CWA2549,Chandler.William.Alvarez@dtaa.com,Technician
Bethany Dora Koch,BDK0854,Bethany.Dora.Koch@dtaa.com,ProductionLineWorker
Beatrice Brenna Conner,BBC3733,Beatrice.Brenna.Conner@dtaa.com,Salesman
Kevin Hop Patel,KHP1043,Kevin.Hop.Patel@dtaa.com,SecurityGuard
Anika Nita Cortez,ANC1950,Anika.Nita.Cortez@dtaa.com,MechanicalEngineer
Illiana Simone Stevens,ISS0949,Illiana.Simone.Stevens@dtaa.com,Salesman
Alden Elliott Holden,AEH0187,Alden.Elliott.Holden@dtaa.com,ElectricalEngineer
Martin David Dennis,MDD1920,Martin.David.Dennis@dtaa.com,ComputerProgrammer
Dora Aretha Macdonald,DAM0096,Dora.Aretha.Macdonald@dtaa.com,ChiefEngineer
Rhoda Avye Irwin,RAI1483,Rhoda.Avye.Irwin@dtaa.com,TestEngineer
Ursa Kelsey Cleveland,UKC1192,Ursa.Kelsey.Cleveland@dtaa.com,TestEngineer
Seth Isaiah Spence,SIS3576,Seth.Isaiah.Spence@dtaa.com,Mathematician
Quinlan Joshua Fleming,QJF3038,Quinlan.Joshua.Fleming@dtaa.com,ITAdmin
Dean Tucker Walters,DTW1276,Dean.Tucker.Walters@dtaa.com,MechanicalEngineer
Kuame Alvin Henry,KAH2398,Kuame.Alvin.Henry@dtaa.com,Supervisor
Lucy Piper Church,LPC2011,Lucy.Piper.Church@dtaa.com,TestEngineer
Emery Wylie Adams,EWA1486,Emery.Wylie.Adams@dtaa.com,StockroomClerk
Halla Sybil Howe,HSH0292,Halla.Sybil.Howe@dtaa.com,MechanicalEngineer
Palmer Carson Myers,PCM0609,Palmer.Carson.Myers@dtaa.com,SoftwareQualityEngineer
Carly Kaden Berry,CKB0169,Carly.Kaden.Berry@dtaa.com,Manager
Stacy Julie Waller,SJW3131,Stacy.Julie.Waller@dtaa.com,Mathematician
Eagan Kane Cervantes,EKC3706,Eagan.Kane.Cervantes@dtaa.com,ProductionLineWorker
Vielka Claire Velasquez,VCV1353,Vielka.Claire.Velasquez@dtaa.com,Scientist
Hasad Jonas Wright,HJW2646,Hasad.Jonas.Wright@dtaa.com,TestEngineer
Brady Quincy Vazquez,BQV1308,Brady.Quincy.Vazquez@dtaa.com,SystemsEngineer
Lani Francesca Robinson,LFR0075,Lani.Francesca.Robinson@dtaa.com,SoftwareQualityEngineer
Camilla Amanda Osborn,CAO3117,Camilla.Amanda.Osborn@dtaa.com,HardwareEngineer
Indigo Minerva Puckett,IMP0960,Indigo.Minerva.Puckett@dtaa.com,Salesman
Dexter Edward Nieves,DEN0236,Dexter.Edward.Nieves@dtaa.com,SoftwareEngineer
Hamilton Hyatt Kirkland,HHK0652,Hamilton.Hyatt.Kirkland@dtaa.com,TechnicalWriter
Dai Neve Hutchinson,DNH0308,Dai.Neve.Hutchinson@dtaa.com,ProductionLineWorker
Fallon Holly Adkins,FHA3387,Fallon.Holly.Adkins@dtaa.com,Technician
Moana Tatum Cleveland,MTC0855,Moana.Tatum.Cleveland@dtaa.com,ProductionLineWorker
Fitzgerald Melvin Neal,FMN0013,Fitzgerald.Melvin.Neal@dtaa.com,AdministrativeAssistant
Daryl Rana Bentley,DRB0202,Daryl.Rana.Bentley@dtaa.com,TestEngineer
Darryl Marcia Wright,DMW2128,Darryl.Marcia.Wright@dtaa.com,HardwareEngineer
Odysseus Kasper Ferrell,OKF2007,Odysseus.Kasper.Ferrell@dtaa.com,SystemsEngineer
Tanek Allistair Waller,TAW2664,Tanek.Allistair.Waller@dtaa.com,Scientist
Carlos Armando Mcclure,CAM1323,Carlos.Armando.Mcclure@dtaa.com,SystemsEngineer
Jonah Chester Rowe,JCR1536,Jonah.Chester.Rowe@dtaa.com,StockroomClerk
Honorato Dalton Larson,HDL2297,Honorato.Dalton.Larson@dtaa.com,Technician
Sawyer Cole Good,SCG2695,Sawyer.Cole.Good@dtaa.com,MechanicalEngineer
Summer Kimberly Barrett,SKB3336,Summer.Kimberly.Barrett@dtaa.com,ProductionLineWorker
Connor Tobias Preston,CTP2225,Connor.Tobias.Preston@dtaa.com,ProductionLineWorker
Myles Benjamin Carney,MBC0803,Myles.Benjamin.Carney@dtaa.com,MaterialsEngineer
Cally Haley Butler,CHB1062,Cally.Haley.Butler@dtaa.com,ITAdmin
Nicolas Brady Talley,NBT3447,Nicolas.Brady.Talley@dtaa.com,Technician
TaShya Genevieve Workman,TGW2782,TaShya.Genevieve.Workman@dtaa.com,StockroomClerk
Thane Erich Cunningham,TEC3006,Thane.Erich.Cunningham@dtaa.com,ChiefEngineer
Tanek William Harrison,TWH1178,Tanek.William.Harrison@dtaa.com,ElectricalEngineer
Skyler Gisela Vincent,SGV2780,Skyler.Gisela.Vincent@dtaa.com,StockroomClerk
Tate Addison Norton,TAN2642,Tate.Addison.Norton@dtaa.com,ComputerScientist
Chantale Gisela Barber,CGB3928,Chantale.Gisela.Barber@dtaa.com,ProductionLineWorker
Mari Breanna Henderson,MBH3427,Mari.Breanna.Henderson@dtaa.com,Salesman
Wylie Nasim Reyes,WNR0661,Wylie.Nasim.Reyes@dtaa.com,MechanicalEngineer
Lysandra Madeson Armstrong,LMA3676,Lysandra.Madeson.Armstrong@dtaa.com,StockroomClerk
Elliott Samuel Salazar,ESS3318,Elliott.Samuel.Salazar@dtaa.com,StockroomClerk
Lars Ferris Clark,LFC2015,Lars.Ferris.Clark@dtaa.com,MechanicalEngineer
Jackson Valentine Stephenson,JVS2308,Jackson.Valentine.Stephenson@dtaa.com,Technician
Damon Richard Mullen,DRM2927,Damon.Richard.Mullen@dtaa.com,Technician
Gwendolyn Kaye Guerra,GKG3414,Gwendolyn.Kaye.Guerra@dtaa.com,Salesman
Jonah Chase Figueroa,JCF0800,Jonah.Chase.Figueroa@dtaa.com,ElectricalEngineer
Noelani Madaline Miles,NMM1844,Noelani.Madaline.Miles@dtaa.com,ElectricalEngineer
Asher Fletcher Ballard,AFB0904,Asher.Fletcher.Ballard@dtaa.com,ProductionLineWorker
Florence Giselle Neal,FGN0375,Florence.Giselle.Neal@dtaa.com,Manager
Evelyn Stacy Higgins,ESH2077,Evelyn.Stacy.Higgins@dtaa.com,MechanicalEngineer
Troy Hayes Massey,THM1021,Troy.Hayes.Massey@dtaa.com,Manager
Travis Gregory Conrad,TGC1489,Travis.Gregory.Conrad@dtaa.com,StockroomClerk
Xanthus Keaton Ray,XKR2059,Xanthus.Keaton.Ray@dtaa.com,WebDeveloper
Brielle Aubrey Oneill,BAO2928,Brielle.Aubrey.Oneill@dtaa.com,Technician
Mara Joy Huber,MJH3822,Mara.Joy.Huber@dtaa.com,Technician
Jonathan Acton Wilkinson,JAW0551,Jonathan.Acton.Wilkinson@dtaa.com,ElectricalEngineer
Justina Lois Mcdowell,JLM3847,Justina.Lois.Mcdowell@dtaa.com,NursePractitioner
Sarah Cleo Hubbard,SCH1013,Sarah.Cleo.Hubbard@dtaa.com,ChiefEngineer
Jacob Benedict Daniels,JBD3707,Jacob.Benedict.Daniels@dtaa.com,ProductionLineWorker
Shaine Dorothy Woodard,SDW0370,Shaine.Dorothy.Woodard@dtaa.com,Director
Piper Cassidy Armstrong,PCA3344,Piper.Cassidy.Armstrong@dtaa.com,ProductionLineWorker
Hiroko Tana Christian,HTC1750,Hiroko.Tana.Christian@dtaa.com,SecurityGuard
Chiquita Laurel Gibbs,CLG3616,Chiquita.Laurel.Gibbs@dtaa.com,StockroomClerk
Robin Chava Hayden,RCH3740,Robin.Chava.Hayden@dtaa.com,Salesman
Wynter Nadine Rowland,WNR0091,Wynter.Nadine.Rowland@dtaa.com,AdministrativeAssistant
Joshua Malik Grant,JMG3365,Joshua.Malik.Grant@dtaa.com,Salesman
Fritz Quentin Gilbert,FQG2974,Fritz.Quentin.Gilbert@dtaa.com,Technician
Ira Merrill Mcintyre,IMM3253,Ira.Merrill.Mcintyre@dtaa.com,StockroomClerk
Thor Addison Hester,TAH0933,Thor.Addison.Hester@dtaa.com,Technician
Illana Tashya Kirkland,ITK2781,Illana.Tashya.Kirkland@dtaa.com,StockroomClerk
Ishmael Octavius Rowe,IOR0152,Ishmael.Octavius.Rowe@dtaa.com,SoftwareQualityEngineer
Vernon Theodore Key,VTK2978,Vernon.Theodore.Key@dtaa.com,Technician
Kelsey Autumn Curry,KAC2449,Kelsey.Autumn.Curry@dtaa.com,Physicist
James Ulric Hayden,JUH3378,James.Ulric.Hayden@dtaa.com,Salesman
Keith Kelly Duran,KKD1980,Keith.Kelly.Duran@dtaa.com,MaterialsEngineer
Drake Rafael Joseph,DRJ0794,Drake.Rafael.Joseph@dtaa.com,ElectricalEngineer
Jonathan Xavier Powers,JXP3801,Jonathan.Xavier.Powers@dtaa.com,Technician
Keegan Vernon Day,KVD2453,Keegan.Vernon.Day@dtaa.com,Mathematician
Karyn Sheila Velez,KSV2881,Karyn.Sheila.Velez@dtaa.com,Salesman
Vivian Quintessa Stokes,VQS3246,Vivian.Quintessa.Stokes@dtaa.com,SystemsEngineer
Xantha Charissa Graves,XCG2316,Xantha.Charissa.Graves@dtaa.com,Salesman
Jack Asher Scott,JAS0353,Jack.Asher.Scott@dtaa.com,Engineer
Uta Stephanie Dunlap,USD0600,Uta.Stephanie.Dunlap@dtaa.com,Physicist
Finn Cairo Schroeder,FCS2824,Finn.Cairo.Schroeder@dtaa.com,StockroomClerk
Quentin Ciaran Dickerson,QCD0386,Quentin.Ciaran.Dickerson@dtaa.com,AdministrativeAssistant
Fay Marny Sharp,FMS3285,Fay.Marny.Sharp@dtaa.com,ProductionLineWorker
Nissim Reuben Nichols,NRN1312,Nissim.Reuben.Nichols@dtaa.com,SystemsEngineer
Urielle Indira Martinez,UIM2818,Urielle.Indira.Martinez@dtaa.com,ProductionLineWorker
Blair Barry Harmon,BBH1056,Blair.Barry.Harmon@dtaa.com,ITAdmin
Kuame Tyler Compton,KTC0474,Kuame.Tyler.Compton@dtaa.com,Mathematician
Eric Robert Odonnell,ERO2454,Eric.Robert.Odonnell@dtaa.com,Mathematician
Teegan Kylee Calderon,TKC0514,Teegan.Kylee.Calderon@dtaa.com,SoftwareDeveloper
Nelle Audra Rivers,NAR1527,Nelle.Audra.Rivers@dtaa.com,ProductionLineWorker
John Hoyt Petersen,JHP1799,John.Hoyt.Petersen@dtaa.com,ComputerProgrammer
Wade Lucas Casey,WLC0115,Wade.Lucas.Casey@dtaa.com,MaterialsEngineer
Brody Nicolas Sweet,BNS3233,Brody.Nicolas.Sweet@dtaa.com,ComputerScientist
Sierra Clio Mcknight,SCM0778,Sierra.Clio.Mcknight@dtaa.com,TechnicalWriter
Nerea Erin Cabrera,NEC2446,Nerea.Erin.Cabrera@dtaa.com,Mathematician
Zorita Latifah Burns,ZLB1878,Zorita.Latifah.Burns@dtaa.com,SystemsEngineer
Harding Micah Adkins,HMA1258,Harding.Micah.Adkins@dtaa.com,WebDeveloper
Sonya Unity Griffith,SUG0718,Sonya.Unity.Griffith@dtaa.com,Scientist
Willa Daria Lopez,WDL0140,Willa.Daria.Lopez@dtaa.com,AdministrativeAssistant
Savannah Beatrice Terrell,SBT2585,Savannah.Beatrice.Terrell@dtaa.com,MechanicalEngineer
Gisela Kaden Buchanan,GKB1150,Gisela.Kaden.Buchanan@dtaa.com,ElectricalEngineer
Alyssa Penelope Mccarthy,APM0190,Alyssa.Penelope.Mccarthy@dtaa.com,AdministrativeAssistant
Judith Lynn Ryan,JLR3930,Judith.Lynn.Ryan@dtaa.com,ProductionLineWorker
Florence Amy Juarez,FAJ3608,Florence.Amy.Juarez@dtaa.com,ElectricalEngineer
Geraldine Mikayla Britt,GMB3703,Geraldine.Mikayla.Britt@dtaa.com,ProductionLineWorker
Macon Malachi Rodriquez,MMR0700,Macon.Malachi.Rodriquez@dtaa.com,MechanicalEngineer
Ifeoma Audra Reynolds,IAR1895,Ifeoma.Audra.Reynolds@dtaa.com,ElectricalEngineer
Oliver Ronan Jefferson,ORJ1401,Oliver.Ronan.Jefferson@dtaa.com,WebDeveloper
Wallace Acton Larson,WAL0050,Wallace.Acton.Larson@dtaa.com,ITAdmin
Kylan Melinda Rose,KMR0373,Kylan.Melinda.Rose@dtaa.com,Mathematician
Kermit Devin Rice,KDR3234,Kermit.Devin.Rice@dtaa.com,SystemsEngineer
Dawn Summer Faulkner,DSF2557,Dawn.Summer.Faulkner@dtaa.com,Mathematician
McKenzie Karen Waters,MKW0157,McKenzie.Karen.Waters@dtaa.com,SoftwareEngineer
Shafira Amaya Berger,SAB3860,Shafira.Amaya.Berger@dtaa.com,SecurityGuard
Vincent Lamar Massey,VLM3572,Vincent.Lamar.Massey@dtaa.com,ElectricalEngineer
Christopher James Craft,CJC2371,Christopher.James.Craft@dtaa.com,Technician
Fallon Kaden Hopper,FKH0804,Fallon.Kaden.Hopper@dtaa.com,MaterialsEngineer
Summer Evangeline Mejia,SEM1862,Summer.Evangeline.Mejia@dtaa.com,MaterialsEngineer
Martha Gemma Grant,MGG0080,Martha.Gemma.Grant@dtaa.com,SoftwareEngineer
Amos Jackson Stephenson,AJS3899,Amos.Jackson.Stephenson@dtaa.com,Mathematician
Richard Mason Nunez,RMN1355,Richard.Mason.Nunez@dtaa.com,Mathematician
Jemima Chelsea Weaver,JCW1332,Jemima.Chelsea.Weaver@dtaa.com,TestEngineer
Tamekah Phyllis Schmidt,TPS1568,Tamekah.Phyllis.Schmidt@dtaa.com,ProductionLineWorker
Emily Regina Guerrero,ERG3905,Emily.Regina.Guerrero@dtaa.com,Physicist
Kamal Eric Deleon,KED1219,Kamal.Eric.Deleon@dtaa.com,SoftwareEngineer
Pamela Paloma Poole,PPP1295,Pamela.Paloma.Poole@dtaa.com,MaterialsEngineer
Zeph Kasper Rowland,ZKR1397,Zeph.Kasper.Rowland@dtaa.com,WebDeveloper
Palmer Marvin Gibbs,PMG0284,Palmer.Marvin.Gibbs@dtaa.com,Manager
Colby Elmo Tran,CET3786,Colby.Elmo.Tran@dtaa.com,Salesman
Hadassah Melissa Cruz,HMC0592,Hadassah.Melissa.Cruz@dtaa.com,Mathematician
Garrison Barry Carrillo,GBC0907,Garrison.Barry.Carrillo@dtaa.com,Salesman
Vladimir Warren Vincent,VWV1249,Vladimir.Warren.Vincent@dtaa.com,WebDeveloper
Felicia Sharon Parker,FSP0703,Felicia.Sharon.Parker@dtaa.com,MechanicalEngineer
Lani Leah Barnes,LLB3769,Lani.Leah.Barnes@dtaa.com,Technician
Deanna Diana Good,DDG1703,Deanna.Diana.Good@dtaa.com,Technician
Kenyon Lee Hardin,KLH0276,Kenyon.Lee.Hardin@dtaa.com,SystemsEngineer
Willa Lara Rivas,WLR0707,Willa.Lara.Rivas@dtaa.com,Technician
